Name,Medium,Protocol,IP mode,Windows,Rhizotron configuration,Injection point,Injection duration (s),PRD Cycle nb,Date,Time (CET in hh:mm),"R contact 
(mean kOhm)","R contact 
(72 kOhm)",Water Cond μS/cm,Irri time,Irri quantity,Mem block start,Note,Inversion RMS (nb of it) – WR - Residual,Observation,Electrodes positions F=full; P=pct,Instrument
last full irrigation: 13/05/2022 through all the upper holes outflow through 72 stopped by 13/05/22,,,,,,,,,,,,,,,,,,,,,
PRD_ERT_1_130522,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,-1,13/5/2022,16:25,7,-,,see irr_log,see irr_log,8828,72 is a small metal tube,,,,Syscal Pro
PRD_MALM_1_130522,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,-1,13/5/2022,17:15,6,53,,,,13796,,,,,Syscal Pro
PRD_ERT_2_170522,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,-1,17/5/2022,15:00,6,-,,,,4414,72 is a small metal tube,,,,Syscal Pro
PRD_MALM_2_170522,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,-1,17/5/2022,17:15,6,53,,,,9382,,,,,Syscal Pro
PRD_ERT_3_190522,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,-1,19/5/2022,15:38,8,-,,,,10584,72 is a small metal tube,,"before irrigation the ET speeded up drastically; 40 ml/5.55 hour. possible causes: the roots reached the zone under the outflow point (see photos) / it is not the ET but other change on the scale e.g. the plant ""climbed up"" on the horizontal rope (visually doesn't seem that this would mean so much weight)",,Syscal Pro
PRD_MALM_3_190522,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,-1,19/5/2022,16:46,8,61,,,,15552,,,,,Syscal Pro
"partial irrigation: 19/05/2022 17:00-17:30 200 ml through the first 4 upper holes (left side), no outflow through 72",,,,,,,,,,,,,,,,,,,,,
PRD_ERT_4_190522,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,0,19/5/2022,18:20,7,-,,,,1,72 is a small metal tube,,,,Syscal Pro
PRD_MALM_4_190522,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,0,19/5/2022,18:55,7,66,,,,4969,,,,,Syscal Pro
PRD_ERT_5_230522,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,0,23/5/2022,07:45,8, -,,,,5341,,,,,Syscal Pro
PRD_MALM_5_230522,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,0,23/5/2022,08:20,8,62,,,,10309,,,,,Syscal Pro
PRD_ERT_6_250522,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,0,25/5/2022,13:30,, -,,,,,,,,,Syscal Jr
"partial irrigation: 25/05/2022 14:30-14:15 260 ml through the last 4 upper holes (right side), no outflow through 72",,,,,,,,,,,,,,,,,,,,,
PRD_ERT_7_010622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,1,1/6/2022,12:50,10, -,,,,1,72 is a small metal tube,,,,Syscal Jr
PRD_MALM_7_010622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,1,1/6/2022,15:20,10,64,,,,4969,,,,,Syscal Jr
PRD_MALM2_7_010622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,1,1/6/2022,15:40,10,10,,,,5341,72 in the soil next to the stem,,,,Syscal Jr
"partial irrigation: 01/06/2022 15:50-16:10 290 ml through the first 4 upper holes (left side), no outflow through 72",,,,,,,,,,,,,,,,,,,,,
PRD_ERT_8_010622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,2,1/6/2022,16:35,5, -,,,,6483,72 is a small metal tube,,,,Syscal Jr
PRD_MALM_8_010622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,2,1/6/2022,16:15,5,63,,,,5739,,,,,Syscal Jr
PRD_MALM2_8_010622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,2,1/6/2022,16:25,5,10,,,,6111,72 in the soil next to the stem,,,,Syscal Jr
PRD_ERT_9_060622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,2,6/6/2022,10:15,8, -,,,,11451,72 is a small metal tube,,,,Syscal Jr
PRD_MALM_9_060622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,2,6/6/2022,12:00,8,56,,,,16419,,,,,Syscal Jr
PRD_MALM2_9_060622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,2,6/6/2022,12:15,8,14,,,,16791,72 in the soil next to the stem,,,,Syscal Jr
PRD_ERT_10_080622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,2,8/6/2022,10:00,11, -,,,,17640,72 is a small metal tube,,,,Syscal Jr
PRD_MALM_10_080622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,2,8/6/2022,11:30,11,60,,,,22608,,,,,Syscal Jr
PRD_MALM2_10_080622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,2,8/6/2022,11:40,11,14,,,,22980,72 in the soil next to the stem,,,,Syscal Jr
partial irrigation: 08/06/2022 11:50-12:00 305 ml through the last 2 upper holes (right side),,,,,,,,,,,,,,,,,,,,,
PRD_ERT_11_080622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,3,8/6/2022,12:30,7, -,,,,24096,72 is a small metal tube,,,,Syscal Jr
PRD_MALM_11_080622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,3,8/6/2022,12:05,7,50,,,,23352,,,,,Syscal Jr
PRD_MALM2_11_080622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,3,8/6/2022,12:15,7,9,,,,23724,72 in the soil next to the stem,,,,Syscal Jr
"""safety"" irrigation: 10/06/2022 60 ml through all holes",,,,,,,,,,,,,,,,,,,,,
PRD_ERT_12_150622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,3,15/6/2022,16:20,15, -,,,,2595,72 is a small metal tube,,,,Syscal Pro
PRD_MALM_12_150622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,3,15/6/2022,17:05,15,66,,,,7563,,,,,Syscal Pro
PRD_MALM2_12_150622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,3,15/6/2022,17:15,15,,,,,7935,72 in the soil next to the stem,,,,Syscal Pro
partial irrigation: 15/06/2022 17:25-17:45 350 ml through the first 2 upper holes (left side),,,,,,,,,,,,,,,,,,,,,
PRD_ERT_13_150622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,4,15/6/2022,17:50,8, -,,,,8307,72 is a small metal tube,,,,Syscal Pro
PRD_MALM_13_150622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,4,15/6/2022,18:25,7,55,,,,13275,,,,,Syscal Pro
PRD_MALM2_13_150622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,4,15/6/2022,18:35,7,10,,,,13647,72 in the soil next to the stem,,,,Syscal Pro
PRD_ERT_14_220622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,4,22/6/2022,16:10,15, -,,,,0,72 is a small metal tube,,,,Syscal Pro
PRD_MALM_14_220622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,4,22/6/2022,16:44,15,58,,,,4968,,,,,Syscal Pro
PRD_MALM2_14_220622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,4,22/6/2022,16:58,15,24,,,,5340,72 in the soil next to the stem,,,,Syscal Pro
partial irrigation: 22/06/2022 16:45-17:00 350 ml through the last 2 upper holes (right side),,,,,,,,,,,,,,,,,,,,,
PRD_ERT_15_220622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,5,22/6/2022,17:21,8, -,,,,5712,72 is a small metal tube,,,,Syscal Pro
PRD_MALM_15_220622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,5,22/6/2022,17:52,8,,,,,10680,,,,,Syscal Pro
PRD_MALM2_15_220622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,5,22/6/2022,18:00,8,17,,,,11052,72 in the soil next to the stem,,,,Syscal Pro
PRD_ERT_16_230622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,5,23/6/2022,10:55,8,-,,,,0,72 is a small metal tube,,,,Syscal Pro
PRD_MALM_16_230622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,5,23/6/2022,11:30,8,41,,,,4968,,,,,Syscal Pro
PRD_MALM2_16_230622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,5,23/6/2022,11:44,8,25,,,,5340,72 in the soil next to the stem,,,,Syscal Pro
PRD_ERT_17_230622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,5,23/6/2022,15:20,8,,,,,5712,,,,,Syscal Pro
PRD_MALM_17_230622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,5,23/6/2022,16:10,8,40,,,,10680,72 in the soil next to the stem,,,,Syscal Pro
PRD_MALM2_17_230622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,5,23/6/2022,16:26,8,9,,,,11052,72 in the soil next to the stem,,,,Syscal Pro
PRD_ERT_18_290622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,5,29/6/2022,9:30,,,,,,0,,,,,Syscal Pro
PRD_MALM_18_290622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,5,29/6/2022,10:14,,57,,,,4968,,,,,Syscal Pro
PRD_MALM2_18_290622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,5,29/6/2022,10:24,,13,,,,5712,72 in the soil next to the stem,,,,Syscal Pro
partial irrigation: 29/06/2022 13:45-13:57 386.15 ml through the first 2 upper holes (left side),,,,,,,,,,,,,,,,,,,,,
PRD_ERT_19_290622,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,6,29/6/2022,14:15,,,,,,,,,,,Syscal Pro
PRD_MALM_19_290622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,6,29/6/2022,14:50,,43,,,,10680,,,,,Syscal Pro
PRD_MALM2_19_290622,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,6,29/6/2022,15:02,,,,,,,72 in the soil next to the stem,,,,Syscal Pro
PRD_MALM_19_290622_8returns,50/50 sand/peat,MR72_mvB.txt,No,x,Full,Cutting 2,0.25,6,29/6/2022,15:16,,39,,,,11424,,,,,Syscal Pro
PRD_ERT_20_050722,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,6,5/7/2022,16:35,18, -,,,,1,,,,,Syscal Pro
PRD_MALM_20_050722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,6,5/7/2022,17:15,18,55,,,,4969,,,,,Syscal Pro
PRD_MALM2_20_050722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,6,5/7/2022,17:55,18,21,,,,5341,72 in the soil next to the stem,,,,Syscal Pro
partial irrigation: 05/07/2022 18:10-18:25 431 ml through the last 2 upper holes (right side),,,,,,,,,,,,,,,,,,,,,
PRD_ERT_21_050722,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,7,5/7/2022,18:25,9, -,,,,5713,,,,,Syscal Pro
PRD_MALM_21_050722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,7,5/7/2022,19:15,9,52,,,,10681,,,,,Syscal Pro
PRD_MALM2_21_050722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,7,5/7/2022,19:35,9,20,,,,11053,72 in the soil next to the stem,,,,Syscal Pro
PRD_ERT_22_070722,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,7,7/7/2022,13:15,11, -,,,,6585,,,,,Syscal Pro
PRD_MALM_22_070722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,7,7/7/2022,13:50,11,43,,,,11553,,,,,Syscal Pro
PRD_MALM2_22_070722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,7,7/7/2022,14:20,11,16,,,,11925,72 in the soil next to the stem,,,,Syscal Pro
PRD_MALM3_22_070722_8returns,50/50 sand/peat,MR72_mvB.txt,No,x,Full,Cutting 2,0.25,7,7/7/2022,14:35,11,62,,,,12297,,,,,Syscal Pro
PRD_MALM4_22_070722_8returns,50/50 sand/peat,MR72_mvB.txt,No,x,Full,Cutting 2,0.25,7,7/7/2022,15:00,11,18,,,,15234,72 in the soil next to the stem,,,,Syscal Pro
PRD_ERT_23_110722,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,7,11/7/2022,11:20,20, -,,,,0,,,,,Syscal Pro
PRD_MALM_23_110722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,7,11/7/2022,12:05,20,59,,,,4968,,,,,Syscal Pro
PRD_MALM2_23_110722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,7,11/7/2022,12:15,20,18,,,,5340,72 in the soil next to the stem,,,,Syscal Pro
PRD_MALM3_23_110722_8returns,50/50 sand/peat,MR72_mvB.txt,No,x,Full,Cutting 2,0.25,7,11/7/2022,12:25,20,46,,,,5712,,,,,Syscal Pro
PRD_MALM4_23_110722_8returns,50/50 sand/peat,MR72_mvB.txt,No,x,Full,Cutting 2,0.25,7,11/7/2022,12:50,20,34,,,,8649,72 in the soil next to the stem,,,,Syscal Pro
partial irrigation: 11/07/2022 13:15-13:25 431 ml through the first 2 upper holes (left side),,,,,,,,,,,,,,,,,,,,,
PRD_ERT_24_110722,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,8,11/7/2022,15:50,12, -,,,,11586,,,,,Syscal Pro
PRD_MALM_24_110722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,8,11/7/2022,16:30,12,59,,,,16554,,,,,Syscal Pro
PRD_MALM2_24_110722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,8,11/7/2022,16:40,12,8,,,,16926,72 in the soil next to the stem,,,,Syscal Pro
PRD_MALM3_24_110722_8returns,50/50 sand/peat,MR72_mvB.txt,No,x,Full,Cutting 2,0.25,8,11/7/2022,17:10,12,35,,,,17298,,,,,Syscal Pro
PRD_MALM4_24_110722_8returns,50/50 sand/peat,MR72_mvB.txt,No,x,Full,Cutting 2,0.25,8,11/7/2022,17:40,12,17,,,,0,72 in the soil next to the stem,,,,Syscal Pro
PRD_ERT_25_120722,50/50 sand/peat,ERT72.sqz,No,x,Full,Cutting 2,0.25,8,12/7/2022,12:00,13, -,,,,0,,,,,Syscal Pro
PRD_MALM_25_120722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,8,12/7/2022,12:40,13,50,,,,4968,,,,,Syscal Pro
PRD_MALM2_25_120722,50/50 sand/peat,MA72B65Rec.txt,No,x,Full,Cutting 2,0.25,8,12/7/2022,12:50,13,15,,,,5340,72 in the soil next to the stem,,,,Syscal Pro
,,,,,,,,,,, ,,,,,,,,,,
